,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3495,developer,Hays,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,programador
3496,ingeniero con experiencia en desarrollo,Krell Consulting,hibrido,jornada completa,3.0,indefinido,False,,,Aranjuez,Madrid,Comunidad de Madrid,España,otros
3497,it specialist,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,Navarra,Navarra,España,sistemas
3498,training engineer,Page Personnel,no especificado,jornada completa,3.0,indefinido,False,48000.0,54000.0,,,,España,otros
3499,programmer,Page Personnel,remoto,jornada completa,3.0,indefinido,False,45000.0,54000.0,,,,España,programador
3500,fullstack,Michael Page,hibrido,jornada completa,2.0,indefinido,True,33000.0,54000.0,Barcelona,Barcelona,Cataluña,España,programador
3501,scada service engineer h/m/d,Michael Page,no especificado,jornada completa,2.0,indefinido,False,,,Pamplona,Navarra,Navarra,España,otros
3502,cybersecurity,Hays,no especificado,jornada completa,5.0,indefinido,False,,,Albacete,Albacete,Castilla-La Mancha,España,ciberseguridad
3503,developer,Hays,presencial,jornada completa,1.0,indefinido,False,25000.0,32000.0,,,,España,programador
3504,systems technician,geekshubs,remoto,jornada completa,3.0,indefinido,False,18000.0,24000.0,,,,España,sistemas
3505,analyst,Michael Page,hibrido,jornada completa,3.0,indefinido,False,30000.0,36000.0,Valencia,Valencia,Comunidad Valenciana,España,data driven
